City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Clyde River,CA,70.4692,-68.5914,-27.24,92,11,4.32,few clouds
322,Husavik,IS,66.0449,-17.3389,41.81,89,100,10.45,overcast clouds
323,Westport,US,41.1415,-73.3579,56.07,77,100,15.01,overcast clouds
324,Severo-Kurilsk,RU,50.6789,156.125,30.4,87,66,15.97,snow
325,Padre Paraiso,BR,-17.0742,-41.4844,66.47,97,98,1.68,light rain
326,Ahipara,NZ,-35.1667,173.1667,63.59,63,96,14.67,overcast clouds
327,Mozarlandia,BR,-14.7447,-50.5706,72.84,90,68,8.68,broken clouds
328,Monaghan,IE,54.25,-6.9667,48.38,95,100,9.48,overcast clouds
329,Barra Do Bugres,BR,-15.0725,-57.1811,76.46,68,80,4.27,broken clouds
330,Faya,SA,18.3851,42.4509,50.52,80,73,2.08,broken clouds
331,Jennings,US,38.7192,-90.2604,35.22,51,0,10.36,clear sky
332,Escanaba,US,45.7453,-87.0646,25.11,67,100,17.27,overcast clouds
333,Talakan,RU,50.3167,130.3667,-21.78,99,84,2.95,broken clouds
334,Atar,MR,20.5169,-13.0499,70.18,17,6,7.56,clear sky
335,Tonota,BW,-21.4833,27.4833,66.63,51,0,7.2,clear sky
336,Bilibino,RU,68.0546,166.4372,9.81,93,100,5.99,overcast clouds
337,Severnyy,RU,50.677,36.5532,24.84,63,0,15.66,clear sky
338,Pacific Grove,US,36.6177,-121.9166,56.88,64,0,5.99,clear sky
339,Prince Rupert,CA,54.3161,-130.3201,24.49,44,32,26.46,scattered clouds
340,Pisco,PE,-13.7,-76.2167,68.05,77,0,18.41,clear sky
341,Taoudenni,ML,22.6783,-3.9836,64.09,21,0,9.06,clear sky
342,Lively,CA,46.4334,-81.1498,30.02,64,73,15.7,broken clouds
343,San Cristobal,VE,7.7669,-72.225,65.32,95,68,4.47,broken clouds
344,San Ramon,US,37.7799,-121.978,57.58,56,0,9.22,clear sky
345,Sioux Lookout,CA,50.1001,-91.917,11.39,87,100,14.65,overcast clouds
346,Carbonia,IT,39.1672,8.5222,44.01,77,7,2.48,clear sky
