City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Dhidhdhoo,MV,2022-11-23 19:46:57,6.8833,73.1,81.48,71,67,14.45
268,Golden,US,2022-11-23 19:44:19,39.7555,-105.2211,51.71,19,100,13.0
269,Sitka,US,2022-11-23 19:46:58,57.0531,-135.33,44.49,70,100,28.77
270,Batagay,RU,2022-11-23 19:46:58,67.6333,134.6333,-42.74,99,66,2.13
271,Beaverlodge,CA,2022-11-23 19:46:58,55.2166,-119.4361,36.75,69,98,13.42
272,Naberera,TZ,2022-11-23 19:46:59,-4.2,36.9333,64.99,82,95,10.74
273,Tazovskiy,RU,2022-11-23 19:47:59,67.4667,78.7,-32.31,99,21,5.01
274,Vardo,NO,2022-11-23 19:48:00,70.3705,31.1107,19.38,86,0,27.63
275,Pisco,PE,2022-11-23 19:48:00,-13.7,-76.2167,75.25,69,0,12.66
276,Lamu,KE,2022-11-23 19:48:01,-2.2717,40.902,78.51,83,100,7.96
277,Comarapa,BO,2022-11-23 19:48:01,-17.9,-64.4833,66.51,57,91,6.46
278,Valleyview,CA,2022-11-23 19:45:18,55.0667,-117.2859,35.64,60,36,5.75
279,Henties Bay,NA,2022-11-23 19:48:02,-22.116,14.2845,62.26,78,1,11.79
280,Camacha,PT,2022-11-23 19:48:03,33.0833,-16.3333,65.62,64,75,4.61
281,Labrea,BR,2022-11-23 19:48:03,-7.2586,-64.7981,76.3,85,100,1.1
282,Butaritari,KI,2022-11-23 19:48:04,3.0707,172.7902,80.73,74,100,7.61
283,Geraldton,AU,2022-11-23 19:47:32,-28.7667,114.6,57.61,88,100,6.91
284,Caiaponia,BR,2022-11-23 19:48:04,-16.9567,-51.8103,73.76,81,100,3.98
285,Coahuayana,MX,2022-11-23 19:48:05,18.7333,-103.6833,88.95,51,79,6.46
286,Garissa,KE,2022-11-23 19:48:05,-0.4536,39.6401,79.75,72,77,9.73
287,Tallahassee,US,2022-11-23 19:48:06,30.4383,-84.2807,77.68,70,0,4.61
288,Baghdad,IQ,2022-11-23 19:48:07,33.3406,44.4009,62.51,63,0,1.14
289,Esperance,AU,2022-11-23 19:48:07,-33.8667,121.9,70.29,43,95,20.87
290,Almaznyy,RU,2022-11-23 19:48:08,48.0448,40.045,34.11,82,1,4.61
291,Kavaratti,IN,2022-11-23 19:48:08,10.5669,72.642,80.1,72,72,7.81
292,Calbuco,CL,2022-11-23 19:48:09,-41.768,-73.1273,65.41,87,100,7.76
293,Westport,US,2022-11-23 19:43:26,41.1415,-73.3579,56.17,37,0,11.5
